block,config,seed,n_episodes,max_step,best_ma50,final_ma50,mean_return
DR,Salinas_1Q_L1,1,3565,100346,37.34,26.18,27.15
DR,Salinas_1Q_L1,2,4021,100338,31.0,29.64,23.95
DR,Salinas_1Q_L1,3,4147,100340,30.42,27.64,23.2
DR,Salinas_1Q_L1,4,3672,100337,33.18,23.22,26.33
DR,Salinas_1Q_L1,5,3429,100346,38.72,36.32,28.26
DR,Salinas_1Q_L1,6,2863,100343,60.66,40.32,34.05
DR,Salinas_1Q_L1,7,4219,100343,28.12,25.24,22.78
DR,Salinas_1Q_L1,8,4186,100316,34.26,20.58,22.96
DR,Salinas_1Q_L1,9,4328,100340,27.46,22.98,22.18
DR,Salinas_1Q_L1,10,4206,100324,32.78,22.42,22.85
DR,Salinas_1Q_L2,1,3066,100282,50.92,39.4,31.71
DR,Salinas_1Q_L2,2,2683,100348,63.28,56.78,36.4
DR,Salinas_1Q_L2,3,3241,100347,45.48,42.24,29.96
DR,Salinas_1Q_L2,4,2132,100295,67.84,58.66,46.04
DR,Salinas_1Q_L2,5,3800,100340,35.54,30.54,25.41
DR,Salinas_1Q_L2,6,2710,100326,52.8,42.64,36.02
DR,Salinas_1Q_L2,7,2152,100348,58.3,51.24,45.63
DR,Salinas_1Q_L2,8,2849,100319,50.96,48.5,34.21
DR,Salinas_1Q_L2,9,2317,100324,60.82,50.0,42.3
DR,Salinas_1Q_L2,10,2925,100335,50.48,42.3,33.3
DR,Salinas_1Q_L5,1,1993,100316,82.88,55.2,49.33
DR,Salinas_1Q_L5,2,2840,100287,49.18,47.84,34.31
DR,Salinas_1Q_L5,3,1919,100327,101.94,65.88,51.28
DR,Salinas_1Q_L5,4,842,100114,229.3,228.14,117.9
DR,Salinas_1Q_L5,5,2289,100350,59.32,47.14,42.84
DR,Salinas_1Q_L5,6,1768,100348,86.0,66.18,55.76
DR,Salinas_1Q_L5,7,3440,100341,38.56,30.42,28.17
DR,Salinas_1Q_L5,8,1266,100312,185.68,129.52,78.24
DR,Salinas_1Q_L5,9,2568,100352,60.88,48.08,38.08
DR,Salinas_1Q_L5,10,2568,100352,60.88,48.08,38.08
DR,Salinas_2Q_L1,1,3820,100330,43.18,29.04,25.26
DR,Salinas_2Q_L1,2,4185,100347,36.58,36.58,22.98
DR,Salinas_2Q_L1,3,3550,100297,43.12,34.3,27.25
DR,Salinas_2Q_L1,4,2677,100302,60.96,37.6,36.47
DR,Salinas_2Q_L1,5,3437,100278,47.7,31.8,28.18
DR,Salinas_2Q_L1,6,1820,100335,91.1,72.28,54.13
DR,Salinas_2Q_L1,7,3254,100326,55.84,47.26,29.83
DR,Salinas_2Q_L1,8,3160,100335,40.54,27.72,30.75
DR,Salinas_2Q_L1,9,3525,100291,37.68,29.82,27.45
DR,Salinas_2Q_L1,10,4417,100331,29.38,27.64,21.71
DR,Salinas_2Q_L2,1,3304,100333,42.94,35.1,29.37
DR,Salinas_2Q_L2,2,2699,100351,67.4,64.04,36.18
DR,Salinas_2Q_L2,3,3938,100351,38.16,33.62,24.48
DR,Salinas_2Q_L2,4,2547,100333,58.54,43.32,38.39
DR,Salinas_2Q_L2,5,2516,100298,58.94,47.68,38.86
DR,Salinas_2Q_L2,6,2769,100321,57.96,40.86,35.23
DR,Salinas_2Q_L2,7,3175,100333,48.2,40.48,30.6
DR,Salinas_2Q_L2,8,2643,100345,56.7,45.46,36.97
DR,Salinas_2Q_L2,9,3127,100346,47.38,38.86,31.09
DR,Salinas_2Q_L2,10,4233,100344,33.78,25.06,22.71
DR,Salinas_2Q_L5,1,1358,99950,219.28,212.02,72.6
DR,Salinas_2Q_L5,2,1831,100338,102.28,91.32,53.8
DR,Salinas_2Q_L5,3,1382,100288,156.52,135.5,71.57
DR,Salinas_2Q_L5,4,1986,100344,80.52,67.2,49.53
DR,Salinas_2Q_L5,5,1985,100329,64.56,58.12,49.54
DR,Salinas_2Q_L5,6,1581,100296,116.46,98.64,62.44
DR,Salinas_2Q_L5,7,1932,100277,86.5,77.76,50.9
DR,Salinas_2Q_L5,8,2086,100285,76.02,71.1,47.08
DR,Salinas_2Q_L5,9,1573,100301,94.38,73.7,62.76
DR,Salinas_2Q_L5,10,1898,100328,74.6,56.86,51.86
DR,Skolik_4Q_L1,1,4331,100344,27.42,24.88,22.17
