block,config,n_seeds,best_ma50_mean,best_ma50_sd,final_ma50_mean,final_ma50_sd
DR,Salinas_1Q_L1,10,35.39,9.58,27.45,6.38
DR,Salinas_1Q_L2,10,53.64,9.35,46.23,8.48
DR,Salinas_1Q_L5,10,95.46,62.73,76.65,59.54
DR,Salinas_2Q_L1,10,48.61,17.54,37.4,13.63
DR,Salinas_2Q_L2,10,51.0,10.63,41.45,10.26
DR,Salinas_2Q_L5,10,107.11,47.45,94.22,47.45
DR,Skolik_4Q_L1,10,28.18,1.33,22.74,1.85
DR,Skolik_4Q_L2,10,74.55,50.92,64.39,46.49
DR,Skolik_4Q_L5,10,175.37,68.47,162.25,70.13
DR,Skolik_8Q_L1,10,32.22,2.61,22.93,2.42
DR,Skolik_8Q_L2,10,144.01,37.92,131.78,33.4
DR,Skolik_8Q_L5,10,199.32,60.15,188.21,60.83
Entanglement,Hsiao_DR_L1_Entangled,10,28.95,1.15,22.88,1.76
Entanglement,Hsiao_DR_L1_Unentangled,10,55.15,5.46,46.59,5.59
Entanglement,Hsiao_DR_L2_Entangled,10,29.6,1.31,23.84,2.15
Entanglement,Hsiao_DR_L2_Unentangled,10,64.89,6.52,57.36,5.08
Entanglement,Hsiao_DR_L5_Entangled,10,55.19,3.15,46.83,5.4
Entanglement,Hsiao_DR_L5_Unentangled,10,126.87,37.13,109.97,37.25
Entanglement,Hsiao_OR_r16_Entangled,10,35.43,2.37,27.79,2.94
Entanglement,Hsiao_OR_r16_Unentangled,10,354.83,124.33,346.34,123.79
Entanglement,Hsiao_OR_r4_Entangled,10,31.85,1.94,24.88,2.58
Entanglement,Hsiao_OR_r4_Unentangled,10,116.5,28.91,103.62,25.13
Entanglement,Skolik_DR_L1_Entangled,10,28.18,1.33,22.74,1.85
Entanglement,Skolik_DR_L1_Unentangled,10,28.18,1.33,22.74,1.85
Entanglement,Skolik_DR_L2_Entangled,10,74.55,50.92,64.39,46.49
Entanglement,Skolik_DR_L2_Unentangled,10,176.62,83.17,165.17,76.6
Entanglement,Skolik_DR_L5_Entangled,10,177.76,66.37,163.18,69.44
Entanglement,Skolik_DR_L5_Unentangled,10,147.21,49.9,132.96,46.79
OR,Classical_r16,10,381.7,37.32,246.2,54.03
OR,Classical_r32,10,330.2,63.44,188.02,81.57
OR,Classical_r4,10,263.94,18.38,242.73,19.22
OR,Classical_r8,10,320.0,36.29,274.39,41.07
OR,Quantum_r16,10,354.83,124.33,346.34,123.79
OR,Quantum_r32,10,430.54,115.58,365.9,155.19
OR,Quantum_r4,10,116.5,28.91,103.62,25.13
OR,Quantum_r8,10,230.01,88.08,210.19,84.49
